year,bimester,uf,annex_name,no_anexo,rows,status,error_message,downloaded_at
2015,4,27,annex06,RREO-Anexo 06,152,downloaded,,2026-05-28
2015,4,28,annex01,RREO-Anexo 01,454,downloaded,,2026-05-28
2015,4,28,annex02,RREO-Anexo 02,1223,downloaded,,2026-05-28
2015,4,28,annex06,RREO-Anexo 06,157,downloaded,,2026-05-28
2015,4,29,annex01,RREO-Anexo 01,527,downloaded,,2026-05-28
2015,4,29,annex02,RREO-Anexo 02,1438,downloaded,,2026-05-28
2015,4,29,annex06,RREO-Anexo 06,172,downloaded,,2026-05-28
2015,4,31,annex01,RREO-Anexo 01,637,downloaded,,2026-05-28
2015,4,31,annex02,RREO-Anexo 02,1392,downloaded,,2026-05-28
2015,4,31,annex06,RREO-Anexo 06,174,downloaded,,2026-05-28
2015,4,32,annex01,RREO-Anexo 01,573,downloaded,,2026-05-28
2015,4,32,annex02,RREO-Anexo 02,1272,downloaded,,2026-05-28
2015,4,32,annex06,RREO-Anexo 06,164,downloaded,,2026-05-28
2015,4,33,annex01,RREO-Anexo 01,612,downloaded,,2026-05-28
2015,4,33,annex02,RREO-Anexo 02,1301,downloaded,,2026-05-28
2015,4,33,annex06,RREO-Anexo 06,175,downloaded,,2026-05-28
2015,4,35,annex01,RREO-Anexo 01,622,downloaded,,2026-05-28
2015,4,35,annex02,RREO-Anexo 02,1389,downloaded,,2026-05-28
2015,4,35,annex06,RREO-Anexo 06,164,downloaded,,2026-05-28
2015,4,41,annex01,RREO-Anexo 01,492,downloaded,,2026-05-28
2015,4,41,annex02,RREO-Anexo 02,1069,downloaded,,2026-05-28
2015,4,41,annex06,RREO-Anexo 06,165,downloaded,,2026-05-28
2015,4,42,annex01,RREO-Anexo 01,594,downloaded,,2026-05-28
2015,4,42,annex02,RREO-Anexo 02,1220,downloaded,,2026-05-28
2015,4,42,annex06,RREO-Anexo 06,176,downloaded,,2026-05-28
2015,4,43,annex01,RREO-Anexo 01,543,downloaded,,2026-05-28
2015,4,43,annex02,RREO-Anexo 02,1195,downloaded,,2026-05-28
2015,4,43,annex06,RREO-Anexo 06,169,downloaded,,2026-05-28
2015,4,50,annex01,RREO-Anexo 01,490,downloaded,,2026-05-28
2015,4,50,annex02,RREO-Anexo 02,1006,downloaded,,2026-05-28
2015,4,50,annex06,RREO-Anexo 06,167,downloaded,,2026-05-28
2015,4,51,annex01,RREO-Anexo 01,522,downloaded,,2026-05-28
2015,4,51,annex02,RREO-Anexo 02,1229,downloaded,,2026-05-28
2015,4,51,annex06,RREO-Anexo 06,149,downloaded,,2026-05-28
2015,4,52,annex01,RREO-Anexo 01,472,downloaded,,2026-05-28
2015,4,52,annex02,RREO-Anexo 02,1176,downloaded,,2026-05-28
2015,4,52,annex06,RREO-Anexo 06,166,downloaded,,2026-05-28
2015,4,53,annex01,RREO-Anexo 01,445,downloaded,,2026-05-28
2015,4,53,annex02,RREO-Anexo 02,1198,downloaded,,2026-05-28
2015,4,53,annex06,RREO-Anexo 06,170,downloaded,,2026-05-28
2015,5,11,annex01,RREO-Anexo 01,447,downloaded,,2026-05-28
2015,5,11,annex02,RREO-Anexo 02,935,downloaded,,2026-05-28
2015,5,11,annex06,RREO-Anexo 06,161,downloaded,,2026-05-28
2015,5,12,annex01,RREO-Anexo 01,505,downloaded,,2026-05-28
2015,5,12,annex02,RREO-Anexo 02,1224,downloaded,,2026-05-28
2015,5,12,annex06,RREO-Anexo 06,161,downloaded,,2026-05-28
2015,5,13,annex01,RREO-Anexo 01,530,downloaded,,2026-05-28
2015,5,13,annex02,RREO-Anexo 02,1302,downloaded,,2026-05-28
2015,5,13,annex06,RREO-Anexo 06,170,downloaded,,2026-05-28
