competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance_construction,source_regime,source_component,post_2020_caged_dummy,caged_method_break_dummy,series_version
200707,2007-07-01,2007,7,23,CE,Ceara,Northeast,494,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,53,DF,Distrito Federal,Center-West,263,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,32,ES,Espirito Santo,Southeast,398,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,52,GO,Goias,Center-West,429,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,21,MA,Maranhao,Northeast,-225,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,31,MG,Minas Gerais,Southeast,3145,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,50,MS,Mato Grosso do Sul,Center-West,325,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,51,MT,Mato Grosso,Center-West,268,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,15,PA,Para,North,430,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,25,PB,Paraiba,Northeast,156,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,26,PE,Pernambuco,Northeast,66,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,22,PI,Piaui,Northeast,-14,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,41,PR,Parana,South,552,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,33,RJ,Rio de Janeiro,Southeast,1191,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,24,RN,Rio Grande do Norte,Northeast,383,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,11,RO,Rondonia,North,79,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,14,RR,Roraima,North,52,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,43,RS,Rio Grande do Sul,South,299,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,42,SC,Santa Catarina,South,460,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,28,SE,Sergipe,Northeast,178,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,35,SP,Sao Paulo,Southeast,2987,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200707,2007-07-01,2007,7,17,TO,Tocantins,North,654,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,12,AC,Acre,North,-4,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,27,AL,Alagoas,Northeast,104,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,13,AM,Amazonas,North,43,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,16,AP,Amapa,North,45,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,29,BA,Bahia,Northeast,919,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,23,CE,Ceara,Northeast,242,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,53,DF,Distrito Federal,Center-West,398,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,32,ES,Espirito Santo,Southeast,378,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,52,GO,Goias,Center-West,399,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,21,MA,Maranhao,Northeast,167,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,31,MG,Minas Gerais,Southeast,3791,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,50,MS,Mato Grosso do Sul,Center-West,203,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200708,2007-08-01,2007,8,51,MT,Mato Grosso,Center-West,270,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
